@relation Mushroom-data-19-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R19

@attribute Status {p,e}
@attribute cap-shape {x,b,s,f}
@attribute cap-surface {s,y,f}
@attribute cap-color {n,y,w,g}
@attribute bruises? {t,f}
@attribute gill-attachment {f}
@attribute gill-spacing {c,w}
@attribute gill-color {k,n,g,p,w,h}
@attribute stalk-shape {e,t}
@attribute stalk-surface-above-ring {s,f}
@attribute stalk-color-above-ring {w,g,p}
@attribute stalk-color-below-ring {w,p}
@attribute veil-type {p}
@attribute veil-color {w}
@attribute ring-number {o}
@attribute ring-type {p,e}
@attribute spore-print-color {k,n,u}
@attribute population {s,n,a,v,y}

@data
p,x,s,n,t,f,c,k,e,s,w,w,p,w,o,p,k,s
e,x,s,y,t,f,c,k,e,s,w,w,p,w,o,p,n,n
e,b,s,w,t,f,c,n,e,s,w,w,p,w,o,p,n,n
p,x,y,w,t,f,c,n,e,s,w,w,p,w,o,p,k,s
e,x,s,g,f,f,w,k,t,s,w,w,p,w,o,e,n,a
e,x,y,y,t,f,c,n,e,s,w,w,p,w,o,p,k,n
e,b,s,w,t,f,c,g,e,s,w,w,p,w,o,p,k,n
e,b,y,w,t,f,c,n,e,s,w,w,p,w,o,p,n,s
p,x,y,w,t,f,c,p,e,s,w,w,p,w,o,p,k,v
e,b,s,y,t,f,c,g,e,s,w,w,p,w,o,p,k,s
e,x,y,y,t,f,c,g,e,s,w,w,p,w,o,p,n,n
e,x,y,y,t,f,c,n,e,s,w,w,p,w,o,p,k,s
e,b,s,y,t,f,c,w,e,s,w,w,p,w,o,p,n,s
p,x,y,w,t,f,c,k,e,s,w,w,p,w,o,p,n,v
e,x,f,n,f,f,w,n,t,s,w,w,p,w,o,e,k,a
e,s,f,g,f,f,c,k,e,s,w,w,p,w,o,p,n,y
e,f,f,w,f,f,w,k,t,s,w,w,p,w,o,e,n,a
p,x,s,n,t,f,c,n,e,s,w,w,p,w,o,p,k,s
p,x,y,w,t,f,c,n,e,s,w,w,p,w,o,p,n,s
p,x,s,n,t,f,c,k,e,s,w,w,p,w,o,p,n,s
