@relation crx-partial

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute CREDIT {+,-}

@data

b,37.42,w,v,0.04,t,f,+
b,34.92,w,v,0,t,f,+
b,34.25,cc,h,7.415,t,f,+
b,23.33,w,v,0.835,t,f,+
b,23.17,cc,v,0.085,t,f,+
b,44.33,i,h,5,t,f,+
b,35.17,x,h,5.75,f,f,+
b,43.25,q,h,6,t,t,+
b,56.75,m,v,1.25,t,t,+
b,31.67,d,v,3,t,t,+
a,23.42,q,v,1.5,t,t,+
a,20.42,q,v,1.585,t,t,+
b,26.67,cc,v,4.29,t,t,+
b,34.17,cc,v,1.54,t,t,+
a,36,c,v,2,t,t,+
b,25.5,m,v,0.25,t,t,+
b,19.42,w,h,1.46,t,t,+
b,35.17,x,h,1.625,t,t,+
b,32.33,e,bb,1.585,t,f,-
b,34.83,d,bb,12.5,t,f,-
a,38.58,cc,v,13.5,t,f,-
b,44.25,m,v,10.75,t,f,-
b,44.83,c,v,1.625,f,f,-
b,20.67,q,v,0.375,t,t,-
b,34.08,aa,v,0.125,t,f,-
a,19.17,aa,v,0.585,t,f,-
b,21.67,k,v,2.5,t,t,-
b,21.5,c,v,0.25,t,f,-
b,49.58,ff,ff,0,t,t,-
a,27.67,m,v,2,t,f,-
b,39.83,m,v,0.25,t,f,-
a,?,d,v,3,t,f,-
b,27.25,aa,v,0.455,t,f,-
b,37.17,c,bb,5,t,f,-
b,?,d,v,0.875,t,f,-
b,25.67,aa,v,4,t,f,-
b,34,aa,v,1,t,f,-
a,49,j,j,0,t,f,-
b,62.5,c,h,5,t,f,-
b,31.42,c,v,0.5,t,f,-
b,?,aa,v,8.5,t,f,-
b,52.33,c,h,9.46,t,f,-
b,28.75,c,v,1.5,t,f,-
a,28.58,i,bb,0.5,t,f,-
