temp,sex
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
26.8,female
27,male
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
27,female
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,male
28,female
28,female
28,female
28,female
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,male
30.3,female
30.3,female
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,male
30.6,female
