@relation California-housing-19

@attribute Value numeric
@attribute Income numeric
@attribute Median-Age numeric
@attribute Rooms numeric
@attribute Bedrooms numeric
@attribute 'Population ' numeric
@attribute Occupancy numeric
@attribute Latitude numeric
@attribute Longitude numeric

@data
4.526,8.3252,41,6.984127,1.02381,322,2.555556,37.88,-122.23
3.585,8.3014,21,6.238137,0.97188,2401,2.109842,37.86,-122.22
3.521,7.2574,52,8.288136,1.073446,496,2.80226,37.85,-122.24
3.413,5.6431,52,5.817352,1.073059,558,2.547945,37.85,-122.25
3.422,3.8462,52,6.281853,1.081081,565,2.181467,37.85,-122.25
2.697,4.0368,52,4.761658,1.103627,413,2.139896,37.85,-122.25
2.992,3.6591,52,4.931907,0.951362,1094,2.128405,37.84,-122.25
2.414,3.12,52,4.797527,1.061824,1157,1.788253,37.84,-122.25
2.267,2.0804,42,4.294118,1.117647,1206,2.026891,37.84,-122.26
2.611,3.6912,52,4.970588,0.990196,1551,2.172269,37.84,-122.25
2.815,3.2031,52,5.477612,1.079602,910,2.263682,37.85,-122.26
2.418,3.2705,52,4.77248,1.024523,1504,2.049046,37.85,-122.26
2.135,3.075,52,5.32265,1.012821,1098,2.346154,37.85,-122.26
1.913,2.6736,52,4,1.097701,345,1.982759,37.84,-122.26
1.592,1.9167,52,4.262903,1.009677,1212,1.954839,37.85,-122.26
1.4,2.125,50,4.242424,1.07197,697,2.640152,37.85,-122.26
1.525,2.775,52,5.939577,1.048338,793,2.39577,37.85,-122.27
1.555,2.1202,52,4.052805,0.966997,648,2.138614,37.85,-122.27
1.587,1.9911,50,5.343675,1.085919,990,2.362768,37.84,-122.26
1.629,2.6033,52,5.465455,1.083636,690,2.509091,37.84,-122.27
1.475,1.3578,40,4.524096,1.108434,409,2.463855,37.85,-122.27
1.598,1.7135,42,4.478142,1.002732,929,2.538251,37.85,-122.27
1.139,1.725,52,5.096234,1.131799,1015,2.123431,37.84,-122.27
0.997,2.1806,52,5.193846,1.036923,853,2.624615,37.84,-122.27
1.326,2.6,52,5.270142,1.035545,1006,2.383886,37.84,-122.27
1.075,2.4038,41,4.495798,1.033613,317,2.663866,37.85,-122.28
0.938,2.4597,49,4.728033,1.020921,607,2.539749,37.85,-122.28
