STATE,D,E,F,G,H,J,K,L,M,N,O,STATUS
AK,193,146,55,249,869,7560,4120,800,76,11.9,10922,PRIVATE
AK,1852,1427,928,3885,4519,5226,3590,650,67,10,11935,PUBLIC
AK,146,117,89,492,1849,5226,4764,500,39,9.5,9584,PUBLIC
AK,2065,1598,1162,6209,10537,5226,5120,580,48,13.7,8046,PUBLIC
AL,2817,1920,984,3958,305,3400,2550,500,53,14.3,7043,PUBLIC
AL,345,320,179,1367,578,5600,3250,350,52,32.8,3971,PRIVATE
AL,1351,892,570,2385,331,4440,3030,300,72,18.9,5883,PUBLIC
AL,7548,6791,3070,16262,1716,6300,3933,600,85,16.7,6642,PUBLIC
AL,805,588,287,1376,207,11660,4325,400,74,14,8649,PRIVATE
AL,1087,702,625,3772,1034,2970,2536,500,62,19.4,4944,PUBLIC
AL,608,520,127,538,126,8080,3920,500,63,11.4,7703,PRIVATE
AL,1627,1413,887,5160,1475,2610,2600,570,66,20.1,4604,PUBLIC
AL,1206,957,444,1627,132,1740,2449,570,58,18.8,4272,PUBLIC
AL,686,427,242,746,123,4000,2700,600,35,16.7,4455,PRIVATE
AL,452,331,269,1417,301,6150,3680,550,59,16.6,5412,PRIVATE
AL,949,605,385,1316,135,6639,3999,600,52,14.5,7986,PRIVATE
AL,1680,1395,691,2959,402,8236,3700,569,74,14.7,9533,PRIVATE
AL,773,694,230,942,224,11478,4788,500,80,14.4,8594,PRIVATE
AL,629,614,248,866,22,4460,2754,600,47,14.3,5031,PRIVATE
AL,4414,1500,335,908,119,5666,2964,1000,56,15.5,5970,PRIVATE
AL,1471,1281,824,4343,990,2883,2570,300,50,23,4295,PUBLIC
AL,2267,1827,611,2825,144,6735,3395,600,70,12.2,10872,PRIVATE
AL,7593,5972,2682,13780,1599,5424,3530,580,80,17.3,6426,PUBLIC
AL,1797,1260,938,6960,4698,4440,5175,750,96,6.7,16352,PUBLIC
AL,1376,957,445,2727,3394,4960,3500,600,83,12.7,8863,PUBLIC
AL,2328,2110,1047,7516,2943,3108,2850,480,80,13.3,8667,PUBLIC
AL,985,868,645,3477,1929,5715,4430,600,74,18.1,4792,PUBLIC
AR,826,794,662,4539,357,3552,2310,500,54,42.6,2033,PUBLIC
AR,1450,1360,744,2993,1020,3216,2328,450,47,16.2,4618,PUBLIC
AR,708,334,166,530,182,8644,3922,500,79,12.6,14579,PRIVATE
AR,1734,1729,951,3602,939,3460,2650,450,57,19.6,4739,PUBLIC
AR,2688,2633,1488,7212,1707,3720,2580,500,71,20,5128,PUBLIC
AR,3131,2703,1792,7402,1119,3274,2600,600,71,20.5,4252,PUBLIC
AR,218,215,126,570,59,4800,2850,400,49,12.8,8177,PRIVATE
AR,1490,1490,771,2942,997,2880,2400,500,58,19,4540,PUBLIC
AR,823,721,274,954,6,8800,3195,500,82,13.1,8588,PRIVATE
AR,605,405,284,961,99,6398,3672,400,68,13.3,8118,PRIVATE
AR,1766,1322,1194,5753,4058,5352,2435,800,61,14.7,4724,PUBLIC
AR,910,773,450,1310,61,6530,2800,500,63,13.3,6413,PRIVATE
AR,220,210,131,509,97,3952,2292,400,62,18,4061,PRIVATE
