Instance,STABILITY(ST),DEVIATION(D),WIND(W),VISIBILITY(V),CLASS
1,yes,0.5,tail,poor,land
2,yes,1,head,good,delay
3,no,0.9,head,poor,land
4,yes,0,head,poor,land
5,no,0.2,head,good,land
6,yes,0.1,tail,good,delay
7,no,0.4,head,good,delay
8,yes,0.6,head,poor,land
9,yes,0.1,head,poor,land
10,yes,0.5,head,good,delay
11,no,0.6,tail,good,land
12,no,0.4,tail,good,delay
13,no,0.6,tail,good,delay
14,no,0.8,head,good,delay
15,no,0.2,head,good,land
16,no,0.4,head,good,delay
17,yes,0.6,tail,poor,land
18,no,0.5,tail,good,land
19,yes,0.1,tail,poor,land
20,yes,0.2,head,good,delay
21,yes,0.8,tail,good,delay
22,yes,0.9,tail,good,delay
